number,city,latitude,longitude
1,Madrid,40.4167,-3.7167
2,Barcelona,41.3825,2.1769
3,Sevilla,37.39,-5.99
4,Málaga,36.7194,-4.42
5,Valencia,39.47,-0.3764
6,Zaragoza,41.6483,-0.883
7,Palma,39.5667,2.65
8,Murcia,37.9861,-1.1303
9,Las Palmas,28.1272,-15.4314
10,A Coruña,43.3713,-8.4188
11,Bilbao,43.2569,-2.9236
12,Alicante,38.3453,-0.4831
13,Córdoba,37.8845,-4.7796
14,Valladolid,41.6528,-4.7236
15,Vigo,42.2314,-8.7124
16,Gijón,43.5333,-5.7
17,Vitoria-Gasteiz,42.85,-2.6833
18,Elche,38.2669,-0.6983
19,Granada,37.1781,-3.6008
20,Tarrasa,41.5611,2.0081
21,Badalona,41.4333,2.2333
22,Oviedo,43.36,-5.845
23,Petrel,38.4789,-0.7967
24,Sabadell,41.5483,2.1075
25,Cartagena,37.6,-0.9819
26,Jerez de la Frontera,36.6817,-6.1378
27,Santa Cruz,28.4667,-16.25
28,Pamplona,42.8167,-1.65
29,León,42.6056,-5.57
30,Almería,36.8403,-2.4681
31,Logroño,42.465,-2.4456
32,Fuenlabrada,40.2833,-3.8
33,Leganés,40.3281,-3.7644
34,Donostia,43.32,-1.98
35,Mataró,41.5421,2.4445
36,Albacete,38.9956,-1.8558
37,Castellón de la Plana,39.9831,-0.0331
38,Santander,43.4628,-3.805
39,Getafe,40.3047,-3.7311
40,Alcorcón,40.35,-3.8333
41,Burgos,42.35,-3.6822
42,Guadalajara,40.6337,-3.1674
43,La Laguna,28.4853,-16.3167
44,Badajoz,38.8803,-6.9753
45,Marbella,36.5167,-4.8833
46,Salamanca,40.9667,-5.6639
47,Huelva,37.25,-6.95
48,Ciudad de Melilla,35.2937,-2.9383
49,Tarragona,41.1187,1.2453
50,Dos Hermanas,37.2836,-5.9222
51,Torrejón de Ardoz,40.4614,-3.4978
52,Algeciras,36.1275,-5.4539
53,Cádiz,36.535,-6.2975
54,Jaén,37.7667,-3.7711
55,Reus,41.1549,1.1087
56,Girona,41.9833,2.8167
57,San Vicente de Baracaldo,43.2972,-2.9917
58,Lugo,43.0167,-7.55
59,Roquetas de Mar,36.7642,-2.6147
60,Cáceres,39.4833,-6.3667
61,Las Rozas de Madrid,40.4917,-3.8733
62,Lorca,37.6798,-1.6944
63,San Fernando,36.4667,-6.2
64,San Cugat del Vallés,41.4735,2.0852
65,Santiago de Compostela,42.8778,-8.5444
66,San Sebastián de los Reyes,40.5469,-3.6258
67,Vaciamadrid,40.3394,-3.5181
68,El Puerto de Santa María,36.6,-6.2167
69,Toledo,39.8567,-4.0244
70,Mijas,36.6,-4.6333
71,Chiclana de la Frontera,36.4167,-6.15
72,Torrevieja,37.9778,-0.6833
73,San Baudilio de Llobregat,41.3458,2.0417
74,Ciudad de Ceuta,35.8867,-5.3
75,Torrente,39.4365,-0.4679
76,El Ejido,36.7831,-2.8167
77,Pontevedra,42.4333,-8.6333
78,Fuengirola,36.5417,-4.625
79,Arona,28.0996,-16.6809
80,Vélez-Málaga,36.7833,-4.1
81,Rubí,41.4933,2.0325
82,Manresa,41.7264,1.8292
83,Avilés,43.5561,-5.9083
84,Valdemoro,40.1908,-3.6742
85,Gandía,38.9667,-0.1833
86,Alcalá de Guadaira,37.3333,-5.85
87,Molina de Segura,38.0548,-1.2131
88,Majadahonda,40.4728,-3.8722
89,Paterna,39.5028,-0.4406
90,Benidorm,38.5342,-0.1314
91,Sanlúcar de Barrameda,36.7667,-6.35
92,Torremolinos,36.6218,-4.5003
93,Benalmádena,36.6,-4.5167
94,Villanueva y Geltrú,41.2243,1.7259
95,Castelldefels,41.28,1.9767
96,Viladecáns,41.3158,2.0194
